id,title,year,km,fuel,transmission,engine,price,on_sale,url,photo_url,scraped_at
22527765,Mazda Mazda6 Revolution Avt. LED NAVI KAM PDC ACC TEM F1 BOSE,2016,174200,diesel motor,avtomatski menjalnik,"2191 ccm, 129 kW / 175 KM",7390,False,https://www.avto.net/Ads/details.asp?id=22527765,https://images.avto.net/photo/22527765/1070388_160.jpg,2026-06-24T09:36:08
22554510,Volkswagen Passat Variant 1.6 TDI KREDIT BREZ POLOGA LED NAVI KAM 2XPDC 16,2015,179800,diesel motor,ročni menjalnik,"1598 ccm, 88 kW / 120 KM",8990,False,https://www.avto.net/Ads/details.asp?id=22554510,https://images.avto.net/photo/22554510/1054871_160.jpg,2026-06-24T09:36:08
22579973,Volkswagen Golf Variant 1.6 TDI AVTOMATSKA KLIMA•GRETJE SEDEŽEV•TEL•ALU ..,2013,178600,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",6650,False,https://www.avto.net/Ads/details.asp?id=22579973,https://images.avto.net/photo/22579973/1078939_160.jpg,2026-06-24T09:36:08
22579866,Volkswagen Polo 1.6 TDI 70kw HIGLINE,2019,195300,diesel motor,ročni menjalnik,"1600 ccm, 70 kW / 95 KM",9000,False,https://www.avto.net/Ads/details.asp?id=22579866,https://images.avto.net/photo/22579866/1077828_160.jpg,2026-06-24T09:36:08
22579853,Renault Scenic 1.5 dCi 110,2017,193000,diesel motor,ročni menjalnik,"1461 ccm, 81 kW / 110 KM",8690,False,https://www.avto.net/Ads/details.asp?id=22579853,https://images.avto.net/photo/22579853/1077285_160.jpg,2026-06-24T09:36:08
22579787,Volkswagen CC LED-BI-XENON-NAVI-KAMERA-MASAZA-HL.SEDEZEV-NAVI-F1,2013,184332,diesel motor,avtomatski menjalnik,"1998 ccm, 103 kW / 140 KM",8990,False,https://www.avto.net/Ads/details.asp?id=22579787,https://images.avto.net/photo/22579787/1075921_160.jpg,2026-06-24T09:36:08
22579753,Renault Kangoo,2013,19000,diesel motor,ročni menjalnik,"1461 ccm, 81 kW / 110 KM",7400,False,https://www.avto.net/Ads/details.asp?id=22579753,https://images.avto.net/photo/22579753/1076135_160.jpg,2026-06-24T09:36:08
22579737,Peugeot 3008 2.0 HDI-110kw-1.lastnik-Slo-Alu-Panorama,2011,118000,diesel motor,ročni menjalnik,"1997 ccm, 110 kW / 150 KM",5999,False,https://www.avto.net/Ads/details.asp?id=22579737,https://images.avto.net/photo/22579737/1075361_160.jpg,2026-06-24T09:36:08
22579712,Opel Insignia Sports Tourer 1.6 CDTi Exclusive Avt.•Aktivni te,2018,191000,diesel motor,avtomatski menjalnik,"1598 ccm, 100 kW / 136 KM",7990,True,https://www.avto.net/Ads/details.asp?id=22579712,https://images.avto.net/photo/22579712/1074307_160.jpg,2026-06-24T09:36:08
22579633,Opel Astra Sports 1.6|1 LASTNIK|JAMSTVO|SERVISNA|ODLIČEN,2019,151000,diesel motor,avtomatski menjalnik,"1598 ccm, 100 kW / 136 KM",8499,False,https://www.avto.net/Ads/details.asp?id=22579633,https://images.avto.net/photo/22579633/1073493_160.jpg,2026-06-24T09:36:08
